epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,8371.09,1.1651,0.53358,0.99618,0.75239,0.39491,0.45233,0.28176,1.51421,2.4633,1.37481,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,8482.71,1.15859,0.53213,0.99631,0.65087,0.387,0.42811,0.28279,1.5057,2.86711,1.36472,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,8593.94,1.16885,0.53164,0.99334,0.80188,0.37762,0.46963,0.29575,1.45613,2.40969,1.33839,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,8707.34,1.16573,0.53162,0.99841,0.68577,0.35018,0.40611,0.26056,1.56398,3.2063,1.41776,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,8820.87,1.16239,0.54381,1.00033,0.75126,0.387,0.44663,0.28863,1.56026,2.39806,1.39682,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,8936.47,1.16103,0.52856,0.99353,0.61373,0.38087,0.4124,0.27067,1.53751,2.84706,1.36981,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,9050.3,1.14995,0.52551,0.99346,0.76701,0.39218,0.45955,0.29672,1.48924,2.42177,1.33092,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,9165,1.16073,0.5287,0.99625,0.74676,0.41877,0.47253,0.29923,1.49173,2.30232,1.36875,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,9278.64,1.15205,0.52342,0.98567,0.76614,0.40505,0.46648,0.29608,1.48529,2.38624,1.3438,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,9393.41,1.15167,0.52567,0.99278,0.62878,0.38628,0.41205,0.28326,1.45683,3.12091,1.35623,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
